_LayerID_	_WeightID_	_Weight_
6	0	-0.144723754028
6	1	-0.170345623926
6	2	0.516317451941
6	3	0.0420835782206
6	4	-0.222585796243
6	5	-0.438373418074
6	6	0.0890576621231
6	7	-1.39921095687
4	0	-0.229743117819
4	1	-0.128060159802
4	2	-0.0321623434417
4	3	-0.0698691688365
4	4	0.075765286119
4	5	-0.164368344403
4	6	-0.0232824104474
4	7	-0.173843751209
4	8	-0.143648715059
4	9	-0.252963185372
4	10	-0.169789451409
4	11	0.176931315519
4	12	0.206581173673
4	13	-0.264253212445
4	14	-0.0977762106406
4	15	-0.247991871727
4	16	0.153693866175
4	17	-0.253085821221
4	18	-0.304522169985
4	19	-0.25803638984
4	20	0.286292025689
4	21	0.208523982651
4	22	0.0325690028934
4	23	-0.0164036366712
4	24	0.104148449109
4	25	-0.0326101308412
4	26	0.245883844628
4	27	0.197150617551
4	28	0.154885775385
4	29	0.119753084072
4	30	-0.127886717976
4	31	0.0220948288416
4	32	0.0749416649492
4	33	0.326413730497
4	34	0.220179091416
4	35	0.12376306532
4	36	0.306445045942
4	37	-0.169891132053
4	38	-0.121914233678
4	39	-0.276145917043
4	40	0.187339778339
4	41	0.0173946371024
4	42	-0.296333750824
4	43	-0.0598270011846
4	44	0.194130623999
4	45	0.263543554147
4	46	0.057579168096
4	47	0.297903345721
4	48	-0.210922953277
4	49	0.307747379928
4	50	-0.0587441132865
4	51	0.30123382964
4	52	-0.15000177876
4	53	-0.0604415691983
4	54	-0.0533775170134
4	55	0.199491787062
4	56	-0.16502249991
4	57	0.301950591516
4	58	0.0475452432712
4	59	0.232807282211
4	60	-0.317224073474
4	61	0.133377953774
4	62	-0.232768577062
4	63	0.233285885585
4	64	-0.181677622918
4	65	0.270564311963
4	66	0.309602346259
4	67	-0.238208512646
4	68	0.31564981533
4	69	-0.105390294036
4	70	-0.153401691109
4	71	0.173715357404
4	72	-0.273262593818
4	73	-0.134656084858
4	74	-0.173056631292
4	75	-0.228487091044
4	76	-0.0820069395592
4	77	-0.102584421621
4	78	0.316975505736
4	79	0.298487835513
4	80	-0.110559362062
4	81	-0.0837357117528
4	82	0.224536581693
4	83	0.2978433182
4	84	0.292948601889
4	85	-0.0386699483101
4	86	0.0695748971798
4	87	0.0186035669773
4	88	-0.160865816843
4	89	0.0128832632055
4	90	-0.182316148729
4	91	0.0349061921885
4	92	-0.0569116464212
4	93	-0.162270038688
4	94	-0.0651314085708
4	95	0.32165844642
4	96	-0.273037678791
4	97	0.27852596117
4	98	-0.108034865504
4	99	-0.108964113496
4	100	-0.0270726132873
4	101	-0.114724562472
4	102	-0.0642927584239
4	103	-0.0461395106659
4	104	-0.239602040504
4	105	-0.201992468482
4	106	-0.174252133449
4	107	0.276315745702
4	108	-0.223210955581
4	109	-0.316407320534
4	110	0.220891466091
4	111	0.107974953233
4	112	-0.227654792969
4	113	-0.238276758233
4	114	0.313062981188
4	115	-0.271133953012
4	116	0.0428743758052
4	117	0.301022200494
4	118	0.194881181844
4	119	-0.182955022249
4	120	-0.305321899006
4	121	0.100153303985
4	122	-0.036509600189
4	123	0.0245834593306
4	124	0.00847673662198
4	125	0.0600857901173
4	126	-0.0352312131634
4	127	0.267408063263
4	128	0.212028755198
4	129	0.246298962329
4	130	-0.235415534173
4	131	0.234371755758
4	132	-0.138023812153
4	133	-0.0649644332811
4	134	0.21595222347
4	135	0.24010158685
4	136	-0.288082433145
4	137	-0.123098472644
4	138	0.291840218324
4	139	-0.107314595484
